kappa,h,branch,x,a,b,s,beta_hat,q_hat,multiplier,attracting
0.75,0.0,1,0.0,0.25,0.125,0.375,0.3333333333333333,0.125,0.75,True
1.0,0.0,1,0.0,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,1.0,False
1.5,0.0,1,-0.8585596366401104,0.07072018167994482,0.03536009083997241,1.3939197274800827,0.02536737958640998,0.03536009083997241,0.3943130254986024,True
1.5,0.0,2,0.0,0.5,0.25,0.75,0.3333333333333333,0.25,1.5,False
1.5,0.0,3,0.8585596366401104,0.9292798183200552,0.4646399091600276,0.10608027251991722,4.380078388965192,0.4646399091600276,0.3943130254986024,True
